time,temperature_avg,temperature_min,temperature_max,relative_humidity,sunshine_duration,wind_velocity,precipitation,solar_radiation,evaporation
2020-05-05,27.05,23,32.7,83.274,8,0.669,0,58.24,2.88
2020-05-06,26.35,23.8,32.5,85.723,0,0.980,53,565.76,0
2020-05-07,28.025,23.4,33,76.156,8,0.839,11,511.68,4.3
2020-05-08,28.125,23.8,33.2,76.175,3.6,0.705,0,703.04,4.54
2020-05-09,26.35,23.9,29,86.862,0,0.581,0,703.04,3.5
2020-05-10,26.95,24.2,32,85.913,3.9,0.410,0,27.04,2
2020-05-11,26.2,24.2,32.7,88.070,2.4,0.576,1,253.76,2.71
2020-05-12,26.975,23.8,33.4,84.356,7,0.687,15,320.32,5.03
2020-05-13,27.675,24.4,31.8,84.448,2.2,0.666,5,642.72,3.29
2020-05-14,27.375,23.6,32.9,81.812,7.3,0.558,0,226.72,2.6
2020-05-15,27.55,23.7,32.6,79.779,8,0.859,0,513.76,4.09
2020-05-16,27.275,22.4,33.5,77.855,7.4,1.003,0,513.76,6.01
2020-05-17,26.85,23.8,33,81.733,6,0.848,0,611.52,4.13
2020-05-18,25.9,23.7,31,90.834,1.4,0.737,18.8,434.72,6.89
2020-05-19,26.325,22.2,32.4,83.352,4.3,0.697,68.9,272.48,0
2020-05-20,26.8,24.4,32.6,87.136,6,0.420,0,405.6,3.89
2020-05-21,27.15,22.6,32.8,83.598,3.2,1.140,72,492.96,0
2020-05-22,27.65,23.6,33.2,82.588,7.8,0.380,0,476.32,3.97
2020-05-23,27.875,24.2,33.2,75.183,7.5,0.572,0,505.44,3.35
2020-05-24,26.75,22.5,34.1,80.077,6.8,0.695,0,669.76,1.34
2020-05-25,26.75,23,33.4,83.544,5.3,0.767,0,752.96,5.4
2020-05-26,26.675,23.2,32,83.861,4.1,0.557,34.5,565.76,6.05
2020-05-27,27.05,23.8,32,82.161,7.5,0.512,0,438.88,4.83
2020-05-28,27.3,23.7,32,83.907,3.2,0.598,0.3,370.24,3.12
2020-05-29,26.925,24.2,33.1,86.564,6.8,0.515,7.5,343.2,3.94
2020-05-30,26.6,22.7,32.7,82.894,7.6,0.594,2.8,540.8,1.14
2020-05-31,27.7,24,32.5,81.299,5.5,0.671,0,557.44,2.18
2020-06-01,26.45,23.4,32.2,82.378,6.6,0.470,0,399.36,4.66
2020-06-02,25.975,22.7,33.2,83.888,4.9,0.880,0.2,380.64,3.1
2020-06-03,27.3,24.2,32.4,81.554,7.2,0.732,10.8,276.64,1.32
2020-06-04,27.225,23.8,32.6,77.722,5,1.220,0,482.56,6.43
2020-06-05,26.325,22.8,31.7,83.982,4.9,0.645,0,474.24,3.88
2020-06-06,27.05,23.2,32.2,83.309,7,0.601,3.1,237.12,6.2
2020-06-07,26.05,22.8,32.8,84.446,6.6,0.380,0,349.44,3.17
2020-06-08,26.525,23.6,31.8,85.222,5.6,0.575,10.3,436.8,3.7
2020-06-09,26.4,22.4,32,85.825,4.7,0.576,9.5,542.88,5.36
2020-06-10,26.7,22.6,32.2,80.801,7.5,0.446,0,447.2,3.27
2020-06-11,26.75,23.8,32.4,86.590,4.1,0.883,3,436.8,3.91
2020-06-12,27.6,23.4,32,80.211,4.5,0.520,3,230.88,2.07
2020-06-13,26.375,22.5,32.7,83.717,7.8,0.678,19.1,474.24,4.3
2020-06-14,27.375,22.8,33.4,78.809,8,0.544,36.7,574.08,0
2020-06-15,27.15,24.8,31.9,85.855,2.3,0.470,0.2,576.16,4.14
2020-06-16,26.95,23.8,32.2,84.110,7.5,0.609,0,197.6,3.15
2020-06-17,27.3,22.8,33.3,78.253,8,1.043,0,380.64,3.2
2020-06-18,25.95,23.1,32.9,85.487,6.1,0.658,0,559.52,3.71
2020-06-19,25.975,23.2,30.2,88.773,0,0.729,58.1,366.08,2.44
2020-06-20,27.025,22.2,33.3,81.176,7.9,0.362,0.1,93.6,2.48
2020-06-21,26.4,22.8,31.8,79.228,4.7,0.656,0,418.08,4.17
2020-06-22,25.275,22.9,31,86.272,2.7,0.722,0,237.12,3.71
2020-06-23,26.675,22.8,31.5,83.395,6.3,0.775,21.7,197.6,3.03
2020-06-24,24.25,22,31.4,85.761,6.2,0.749,61.5,397.28,0
2020-06-25,26.95,22.8,32.5,80.274,8,0.419,0,413.92,2.89
2020-06-26,27.225,23.8,32.4,84.433,7.2,0.545,0,484.64,4.73
2020-06-27,26.725,23,31.8,81.486,7.4,0.519,8.9,497.12,2.53
2020-06-28,27.15,23.8,31.8,82.974,7,0.656,0,434.72,3.79
2020-06-29,27.725,23.3,32.9,74.422,7.4,0.358,0,355.68,4.98
2020-06-30,27.25,22.8,33,77.238,8,0.687,0,507.52,5.59
